"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_login","tests.pytest","Tue Feb 03 15:25:09 UTC 2026","passed","Tue Feb 03 15:25:09 UTC 2026","TestUserAuthentication","test_markers","",""
"","1633","Check displaying of empty courses list","LMS system","Tue Feb 03 15:25:02 UTC 2026","passed","Tue Feb 03 15:25:04 UTC 2026","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Tue Feb 03 15:25:09 UTC 2026","passed","Tue Feb 03 15:25:09 UTC 2026","TestUserAuthentication","test_markers","",""
"","3900","Edit course","LMS system","Tue Feb 03 15:25:05 UTC 2026","passed","Tue Feb 03 15:25:09 UTC 2026","Courses","Courses","",""
"","1672","User login with wrong email or password","LMS system","Tue Feb 03 15:24:58 UTC 2026","passed","Tue Feb 03 15:25:00 UTC 2026","Authorization","Authentication","",""
"","1","test_forgot_password_link","tests.pytest","Tue Feb 03 15:25:09 UTC 2026","passed","Tue Feb 03 15:25:09 UTC 2026","TestUserInterface","test_markers","",""
"","1613","User login with wrong email or password","LMS system","Tue Feb 03 15:24:59 UTC 2026","passed","Tue Feb 03 15:25:01 UTC 2026","Authorization","Authentication","",""
"","1533","Navigation from login page to registration page","LMS system","Tue Feb 03 15:25:00 UTC 2026","passed","Tue Feb 03 15:25:02 UTC 2026","Authorization","Authentication","",""
"","1713","Registration with correct email, username and password","LMS system","Tue Feb 03 15:25:02 UTC 2026","passed","Tue Feb 03 15:25:03 UTC 2026","Registration","Authentication","",""
"","2004","User login with wrong email or password","LMS system","Tue Feb 03 15:24:56 UTC 2026","passed","Tue Feb 03 15:24:58 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Tue Feb 03 15:25:09 UTC 2026","passed","Tue Feb 03 15:25:09 UTC 2026","","test_markers","",""
"","3479","Create course","LMS system","Tue Feb 03 15:25:04 UTC 2026","passed","Tue Feb 03 15:25:07 UTC 2026","Courses","Courses","",""
"","3343","User login with correct email and password","LMS system","Tue Feb 03 15:24:56 UTC 2026","passed","Tue Feb 03 15:24:59 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Tue Feb 03 15:25:09 UTC 2026","passed","Tue Feb 03 15:25:09 UTC 2026","TestUserAuthentication","test_markers","",""
"","1596","Check displaying of dashboard page","LMS system","Tue Feb 03 15:25:10 UTC 2026","passed","Tue Feb 03 15:25:12 UTC 2026","Dashboard","Dashboard","",""
"","0","test_critical_login","tests.pytest","Tue Feb 03 15:25:09 UTC 2026","passed","Tue Feb 03 15:25:09 UTC 2026","","test_markers","",""
